timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,label
2010.01.04 00:00:00,EURUSD,1.43259,1.43336,1.42569,1.42705,5149,1.428228,1.435875,1.443522,0.998223,-0.077019,1.065142,37.54328,0,0.910127,-0.245487,-0.388213,0.346753,-2.698434,-0.457762,1.538516,-0.032797,-0.342516,1,4,0,24.3194,3,0
2010.01.04 04:00:00,EURUSD,1.42702,1.43082,1.427,1.43004,4820,1.427499,1.435459,1.443419,0.99965,0.159605,1.109036,42.64957,0,0.851846,-0.006623,0.211183,0.340392,-2.674964,-0.388213,0.910127,-0.002102,0.091885,0,5,0,24.477637,3,1
2010.01.08 04:00:00,EURUSD,1.43118,1.43196,1.42871,1.42926,4411,1.428424,1.437508,1.446592,1.0002,0.046028,1.26389,37.576835,0,0.605179,-0.286458,-0.134335,0.331831,-1.98678,0.028648,0.679701,0.000699,-0.097895,0,4,2,24.436422,3,0
2010.01.08 08:00:00,EURUSD,1.42931,1.43344,1.42927,1.43221,7484,1.427894,1.437024,1.446154,1.000964,0.236369,1.270706,43.606112,1,1.011092,-0.013793,0.202484,0.328341,-1.966712,-0.134335,0.605179,0.003498,0.039196,0,4,3,24.592064,1,1
2010.02.01 00:00:00,EURUSD,1.38627,1.3887,1.38548,1.38648,5017,1.385432,1.398721,1.412009,1.000034,0.03942,1.900042,27.239679,0,0.591729,-3.761905,0.015146,0.35557,-1.835814,-0.186132,0.677023,0.011543,-0.04473,0,10,1,22.104899,3,0
2010.02.01 04:00:00,EURUSD,1.38645,1.38832,1.38521,1.38787,5575,1.384252,1.39776,1.411268,1.000692,0.133909,1.932747,30.389903,0,0.657084,-0.873239,0.102315,0.345847,-1.866,0.015146,0.591729,-0.002164,-0.019488,0,10,2,22.182913,3,1
2010.02.05 16:00:00,EURUSD,1.37289,1.3731,1.35957,1.36312,15320,1.361415,1.384439,1.407463,0.998645,0.037033,3.326158,25.628184,1,1.878383,-0.363357,-0.716738,0.42299,-2.299442,0.396967,1.450614,-0.001457,-0.465617,0,8,0,20.769998,1,0
2010.02.05 20:00:00,EURUSD,1.3631,1.36784,1.35854,1.36776,8873,1.359431,1.383151,1.406871,0.999344,0.175566,3.429818,33.021574,1,1.093812,-0.978541,0.340703,0.440011,-2.323544,-0.716738,1.878383,-0.001467,-0.075759,1,9,0,21.038779,2,1
2010.02.12 12:00:00,EURUSD,1.35685,1.35997,1.35311,1.35898,11605,1.360042,1.3723,1.384557,0.994903,-0.04333,1.786386,33.800467,0,1.345905,-1.755869,0.156735,0.444404,-2.79797,-0.751752,1.068585,0.001474,-0.258731,0,3,0,20.528632,1,0
2010.02.12 16:00:00,EURUSD,1.35899,1.36428,1.35506,1.36306,13150,1.358912,1.371807,1.384702,0.997165,0.160826,1.879939,40.181208,0,1.49658,-0.965602,0.298593,0.459741,-2.806083,0.156735,1.345905,0.000736,0.144112,0,4,0,20.766511,1,1
