timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session
2025.01.17 12:00:00,AUDUSD,0.620280,0.620650,0.617420,0.617770,11477,0.616934,0.620395,0.623856,1.000787,0.120752,1.115675,42.225481,0,1.036715,-0.139442,-0.406300,0.379834,-1.554616,0.004837,0.915971,0.000000,-0.353448,0,0,26,0.000000,1
2025.01.17 16:00:00,AUDUSD,0.617780,0.622760,0.616410,0.620450,36309,0.617066,0.620468,0.623869,0.998936,0.497427,1.096302,51.217296,0,2.964218,-0.513109,0.430333,0.424284,-1.549029,-0.406300,1.036715,0.001619,-0.163584,0,1,0,0.000000,1
2025.01.17 20:00:00,AUDUSD,0.620460,0.620680,0.619120,0.619210,10620,0.617391,0.620556,0.623721,1.002801,0.287383,1.020156,47.531241,0,0.876053,-0.072000,-0.201870,0.412762,-1.552704,0.430333,2.964218,0.001612,0.439642,0,1,1,0.000000,2
2025.01.20 00:00:00,AUDUSD,0.619690,0.620940,0.618960,0.620830,9918,0.617688,0.620682,0.623676,1.002059,0.524719,0.964628,52.355554,1,0.853914,-0.640351,0.183625,0.405059,-1.535227,-0.201870,0.876053,0.077518,-0.025843,0,1,2,0.000000,3
2025.01.20 04:00:00,AUDUSD,0.620830,0.621840,0.620410,0.620720,11154,0.617810,0.620747,0.623684,1.004209,0.495404,0.946321,52.005891,0,0.949301,-2.818182,-0.017721,0.392649,-1.518189,0.183625,0.853914,0.000000,0.234264,0,1,3,0.000000,3
2025.01.20 08:00:00,AUDUSD,0.620730,0.622290,0.619680,0.619940,15816,0.617998,0.620809,0.623620,1.002722,0.345447,0.905698,49.482276,0,1.286947,-0.329114,-0.127432,0.395133,-1.503218,-0.017721,0.949301,0.001611,-0.117664,0,1,4,0.000000,1
2025.01.20 12:00:00,AUDUSD,0.619940,0.626850,0.619870,0.626520,26887,0.617599,0.621199,0.624798,1.003677,1.239229,1.158843,64.938835,0,2.017105,-0.010638,1.050246,0.442634,-1.458493,-0.127432,1.286947,0.000000,0.030661,0,1,5,0.000000,1
2025.01.20 16:00:00,AUDUSD,0.626510,0.628700,0.623200,0.625470,40759,0.617404,0.621442,0.625479,1.009387,0.998921,1.299304,61.694941,0,2.750186,-2.182692,-0.166275,0.474517,-1.430972,1.050246,2.017105,-0.001596,0.537209,0,1,6,0.000000,1
2025.01.20 20:00:00,AUDUSD,0.625460,0.628430,0.625070,0.627390,10771,0.616943,0.621596,0.626249,1.013172,1.122668,1.496972,65.125514,0,0.731132,-0.202073,0.307624,0.477528,-1.388666,-0.166275,2.750186,-0.001599,0.300064,0,1,7,0.000000,2
2025.01.21 00:00:00,AUDUSD,0.626410,0.628920,0.620830,0.623100,34855,0.616953,0.621649,0.626345,1.006283,0.654509,1.510670,53.579110,0,2.263503,-0.685801,-0.531215,0.539211,-1.371891,0.307624,0.731132,-0.156203,-0.678324,0,1,8,0.000000,3
2025.01.21 04:00:00,AUDUSD,0.623100,0.626050,0.623050,0.623230,18405,0.616951,0.621676,0.626402,1.009886,0.664367,1.520311,53.846149,0,1.151165,-0.384615,0.020859,0.534975,-1.346806,-0.531215,2.263503,0.000000,0.357586,1,1,9,0.000000,3
2025.01.21 08:00:00,AUDUSD,0.623250,0.624310,0.622420,0.623200,19332,0.616955,0.621719,0.626483,1.008859,0.655427,1.532623,53.769279,0,1.166880,-15.600000,-0.008023,0.518448,-1.318253,0.020859,1.151165,0.003209,-0.101115,0,1,10,0.000000,1
2025.01.21 12:00:00,AUDUSD,0.623200,0.624080,0.621450,0.623850,21914,0.617143,0.621917,0.626690,1.006979,0.702512,1.535186,55.259599,0,1.272823,-2.692308,0.104192,0.511027,-1.285934,-0.008023,1.166880,0.000000,-0.155843,0,1,11,0.000000,1
2025.01.21 16:00:00,AUDUSD,0.623850,0.627480,0.623440,0.626720,34851,0.616985,0.622186,0.627386,1.010463,0.935946,1.671770,61.206149,0,1.895415,-0.142857,0.457940,0.518397,-1.237746,0.104192,1.272823,0.000000,0.320219,0,1,12,0.000000,1
2025.01.21 20:00:00,AUDUSD,0.626720,0.627590,0.626300,0.627290,12053,0.616921,0.622519,0.628116,1.015203,0.926220,1.798328,62.278487,0,0.655967,-0.736842,0.090867,0.495620,-1.195587,0.457940,1.895415,0.000000,0.458745,0,1,13,0.000000,2
2025.01.22 00:00:00,AUDUSD,0.627190,0.627740,0.625490,0.626360,14521,0.616925,0.622751,0.628576,1.013884,0.809785,1.870996,59.393774,0,0.805514,-1.048193,-0.132512,0.486561,-1.157433,0.090867,0.655967,-0.015942,-0.129331,0,1,14,0.000000,3
2025.01.22 04:00:00,AUDUSD,0.626360,0.626950,0.625970,0.626490,11253,0.617013,0.623013,0.629013,1.014517,0.789730,1.926257,59.674954,0,0.618810,-3.000000,0.020751,0.462886,-1.117336,-0.132512,0.805514,0.000000,0.076740,0,1,15,0.000000,3
2025.01.22 08:00:00,AUDUSD,0.626480,0.628490,0.625270,0.628480,20824,0.616991,0.623378,0.629764,1.013418,0.899480,2.048977,63.806537,0,1.098156,-0.605000,0.318228,0.465058,-1.073328,0.020751,0.618810,-0.001596,-0.111826,0,1,16,0.000000,1
2025.01.22 12:00:00,AUDUSD,0.628490,0.629550,0.627540,0.628290,20942,0.617221,0.623780,0.630338,1.016718,0.843881,2.102740,63.141355,0,1.066679,-3.750000,-0.031832,0.454821,-1.032015,0.318228,1.098156,0.001591,0.363043,0,1,17,0.000000,1
2025.01.22 16:00:00,AUDUSD,0.628290,0.628400,0.626380,0.627720,26270,0.617585,0.624152,0.630718,1.014240,0.771739,2.103993,61.084001,0,1.284813,-2.350877,-0.090805,0.445703,-0.991676,-0.031832,1.066679,0.000000,-0.184849,0,1,18,0.000000,1
2025.01.22 20:00:00,AUDUSD,0.627720,0.628170,0.627050,0.627340,12464,0.618623,0.624630,0.630637,1.013622,0.725565,1.923425,59.687718,0,0.608122,-0.763158,-0.060573,0.426870,-0.943420,-0.090805,1.284813,0.000000,0.106964,0,1,19,0.000000,2
